VideoName,ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
00001,1,38,B,2,2,2,736,386,633,565,724,415,2,X
00001,2,104,A,2,2,1,787,542,734,385,690,578,7,X
00001,3,121,B,2,2,2,782,471,771,567,708,398,6,X
00001,4,149,A,2,1,2,561,573,744,445,702,571,9,X
00001,5,166,B,2,1,1,619,397,615,573,689,441,8,X
00001,6,200,A,2,2,1,876,617,608,408,657,594,3,X
00001,7,239,B,2,2,1,811,376,842,628,649,412,3,A
00002,1,16,B,2,2,2,511,352,670,550,566,376,2,X
00002,2,77,A,2,2,1,480,575,536,353,634,579,5,X
00002,3,96,B,2,1,2,609,405,647,580,529,373,6,X
00002,4,115,A,2,2,2,486,576,658,404,625,583,9,X
00002,5,136,B,1,2,1,442,378,568,585,593,394,5,B
00003,1,18,B,2,2,2,596,375,665,586,550,413,2,X
00003,2,78,A,2,2,1,853,623,605,371,660,590,3,X
00003,3,112,B,2,2,1,779,442,825,641,644,411,7,X
00003,4,134,A,2,1,2,780,509,731,437,729,622,6,X
00003,5,164,B,2,2,2,788,487,750,518,704,441,6,X
00003,6,189,A,2,1,2,651,642,742,471,712,552,8,X
00003,7,233,B,2,2,1,475,442,643,648,647,423,7,X
00003,8,260,A,2,2,2,473,526,508,436,638,629,6,X
00003,9,288,B,2,1,2,482,376,500,538,580,435,8,X
00003,10,323,A,2,2,1,775,629,526,377,576,581,3,X
00003,11,355,B,2,2,1,801,433,732,637,619,406,7,X
00003,12,379,A,2,1,2,507,523,755,432,683,610,6,X
00003,13,408,B,2,1,2,507,379,543,533,653,434,8,X
00003,14,451,A,2,2,1,819,613,524,381,607,579,3,X
00003,15,480,B,2,2,1,517,450,746,622,630,395,7,X
00003,16,506,A,2,2,2,471,524,555,441,763,621,6,X
00003,17,537,B,2,1,2,494,376,495,537,574,439,8,X
00003,18,585,A,2,2,1,818,545,516,375,603,586,7,X
00003,19,611,B,2,2,2,810,480,770,555,579,391,6,X
00003,20,641,A,2,1,2,841,649,771,466,720,565,8,X
00003,21,702,B,2,2,1,751,381,808,654,674,429,3,X
00003,22,742,A,2,2,1,832,648,717,385,689,604,3,X
00003,23,778,B,2,2,1,795,383,796,654,664,407,3,X
00003,24,811,A,2,2,1,517,626,713,389,696,611,3,X
00003,25,841,B,2,2,1,553,384,591,627,677,399,3,X
00003,26,884,A,2,2,1,476,552,565,386,628,602,7,X
00003,27,913,B,2,1,2,525,381,499,562,572,399,8,X
00003,28,947,A,2,2,1,398,675,554,382,599,589,3,A
00004,1,32,A,2,1,2,689,533,627,438,712,600,1,X
00004,2,57,B,2,2,2,763,480,657,556,613,433,6,X
00004,3,84,A,2,1,2,775,511,719,462,677,571,6,X
00004,4,110,B,2,2,2,497,377,766,535,673,445,8,X
00004,5,156,A,2,2,1,480,556,528,374,645,570,7,X
00004,6,177,B,2,1,2,466,469,523,564,576,401,6,X
00004,7,206,A,2,2,2,847,653,501,441,580,577,8,X
00004,8,242,B,2,2,1,538,460,784,649,621,424,7,X
00004,9,267,A,2,2,1,649,528,557,445,701,610,6,X
00004,10,294,B,2,2,2,805,471,644,560,617,437,6,X
00004,11,324,A,2,1,2,805,514,755,460,706,590,6,X
00004,12,349,B,2,2,2,826,494,766,546,680,438,6,X
00004,13,377,A,2,1,2,753,653,793,478,711,553,8,X
00004,14,427,B,2,2,1,663,419,720,656,623,411,5,X
00004,15,439,A,2,1,2,555,520,604,404,756,641,6,X
00004,16,467,B,2,1,2,511,493,579,549,631,414,6,X
00004,17,495,A,2,2,2,745,665,536,473,577,547,8,X
00004,18,548,B,2,2,1,796,434,696,672,611,420,7,X
00004,19,571,A,2,1,2,832,531,757,426,709,620,6,X
00004,20,596,B,2,2,2,808,372,792,553,680,422,9,B
00005,1,12,B,2,1,2,661,365,624,521,722,319,1,X
00005,2,34,A,2,2,2,713,462,695,370,657,543,6,X
00005,3,52,B,2,2,2,600,357,690,507,646,355,6,X
00005,4,74,A,2,2,2,810,461,631,365,675,519,6,X
00005,5,94,B,2,2,2,764,325,751,483,603,342,9,X
00005,6,108,A,2,1,2,840,476,608,340,738,517,6,X
00005,7,132,B,2,2,2,800,359,778,517,653,336,6,X
00005,8,156,A,2,1,2,516,452,748,360,721,521,6,X
00005,9,181,B,2,1,2,715,329,570,487,656,343,9,X
00005,10,194,A,2,1,2,503,585,582,334,597,482,8,X
00005,11,226,B,1,2,1,502,328,544,578,569,337,5,X
00005,12,243,A,2,2,2,483,484,536,323,522,590,6,X
00005,13,263,B,2,1,2,612,337,541,513,540,327,9,X
00005,14,279,A,2,1,2,454,606,540,344,589,517,8,X
00005,15,312,B,1,2,1,499,325,543,599,587,332,5,X
00005,16,330,A,2,2,2,442,488,539,331,536,621,6,X
00005,17,354,B,2,1,2,790,379,481,519,566,341,6,X
00005,18,380,A,2,1,2,517,627,725,368,644,526,8,X
00005,19,422,B,1,2,1,512,334,542,630,590,337,5,X
00005,20,439,A,2,2,2,663,477,561,336,555,633,6,X
00005,21,464,B,2,2,2,481,378,611,513,605,337,6,X
00005,22,489,A,2,2,2,426,609,510,373,615,537,8,X
00005,23,520,B,2,1,2,729,355,449,616,570,345,7,X
00005,24,547,A,2,1,2,529,612,682,354,616,569,8,X
00005,25,581,B,1,2,1,494,289,562,617,588,335,3,X
00005,26,620,A,2,2,1,432,478,490,296,614,557,7,X
00005,27,642,B,2,1,2,781,374,473,518,543,304,6,X
00005,28,669,A,2,1,2,493,615,723,371,632,530,9,X
00005,29,707,B,1,2,1,782,320,549,616,597,339,5,X
00005,30,725,A,2,1,2,852,473,643,331,506,625,6,X
00005,31,752,B,2,2,2,813,379,771,503,698,341,6,X
00005,32,780,A,2,1,2,826,625,761,364,687,520,8,X
00005,33,817,B,2,2,2,800,298,769,630,669,324,3,X
00005,34,850,A,1,2,1,841,540,722,317,668,573,5,X
00005,35,865,B,2,2,2,536,324,729,561,744,303,4,X
00005,36,890,A,2,2,2,467,565,562,327,725,561,4,X
00005,37,906,B,2,2,2,505,382,686,556,572,343,6,X
00005,38,933,A,2,2,2,376,613,514,361,603,539,8,X
00005,39,969,B,2,1,2,564,270,418,622,542,346,3,A
00006,1,24,B,2,1,2,553,385,649,465,579,370,1,X
00006,2,49,A,2,2,2,983,590,577,383,641,462,9,X
00006,3,86,B,2,2,1,802,371,926,594,634,372,7,A
00007,1,36,B,2,1,2,685,384,618,467,704,369,1,X
00007,2,61,A,2,2,2,315,590,697,383,672,472,8,X
00007,3,95,B,1,2,1,637,381,582,577,614,369,7,X
00007,4,119,A,2,2,1,844,426,662,380,544,545,6,A
00008,1,28,A,2,1,2,786,435,630,327,724,513,1,X
00008,2,52,B,2,2,2,784,364,736,446,643,320,6,X
00008,3,78,A,2,1,2,807,546,746,348,703,484,8,X
00008,4,104,B,2,2,1,501,286,758,558,664,320,5,B
00009,1,6,A,2,1,2,573,466,651,341,547,525,1,X
00009,2,20,B,2,1,2,694,318,604,468,622,331,9,X
00009,3,31,A,2,1,1,594,494,632,339,616,469,4,X
00009,4,40,B,2,1,2,605,379,667,502,644,331,6,X
00009,5,67,A,2,2,2,627,434,624,364,645,502,6,X
00009,6,89,B,2,1,2,661,392,660,444,622,355,6,X
00009,7,111,A,2,1,1,525,441,630,386,653,462,6,X
00009,8,130,B,2,1,2,826,275,559,457,644,364,8,A
00010,1,24,A,2,1,2,723,454,620,345,730,536,1,X
00010,2,41,B,2,2,2,533,356,703,478,616,343,6,X
00010,3,60,A,2,2,2,818,613,563,359,675,493,8,X
00010,4,94,B,2,2,1,748,310,705,599,610,331,5,X
00010,5,108,A,2,1,2,654,469,625,319,784,628,6,X
00010,6,132,B,2,1,2,793,370,685,496,643,326,6,X
00010,7,156,A,2,1,2,830,426,760,383,714,530,6,X
00010,8,185,B,2,2,2,717,276,805,463,711,369,8,X
00010,9,240,A,2,2,1,865,455,699,285,697,543,5,A
00011,1,8,A,2,1,2,788,452,620,351,719,549,1,X
00011,2,27,B,2,2,2,546,383,759,490,631,350,6,X
00011,3,49,A,2,2,2,638,441,567,388,691,514,6,X
00011,4,73,B,2,2,2,607,399,587,464,601,373,6,X
00011,5,99,A,2,1,2,835,621,587,396,605,490,8,X
00011,6,148,B,2,2,1,819,316,791,628,627,329,5,B
00012,1,59,A,2,1,2,796,443,630,379,746,485,1,X
00012,2,84,B,2,2,2,800,394,731,459,651,375,6,X
00012,3,115,A,2,2,2,789,589,747,391,686,465,8,X
00012,4,169,B,2,2,1,755,367,784,603,678,377,5,X
00012,5,188,A,2,2,2,619,438,691,372,729,556,6,X
00012,6,215,B,2,2,2,558,424,581,463,657,378,6,A
00013,1,24,B,2,1,2,573,381,649,466,588,369,1,X
00013,2,47,A,2,2,2,838,418,586,382,650,470,6,X
00013,3,75,B,2,2,2,730,354,792,432,669,377,8,X
00013,4,112,A,1,2,1,551,496,682,363,698,460,3,X
00013,5,132,B,1,2,1,536,367,631,481,695,363,5,X
00013,6,151,A,2,2,2,775,434,587,370,649,485,6,X
00013,7,179,B,2,2,2,512,389,743,452,594,366,6,X
00013,8,208,A,2,2,2,260,624,534,387,606,456,8,X
00013,9,251,B,1,2,1,547,360,409,604,598,375,3,X
00013,10,291,A,2,2,1,879,476,564,359,599,517,5,A
00014,1,13,A,2,1,2,774,438,635,332,726,525,1,X
00014,2,41,B,2,2,2,745,283,731,466,644,325,8,X
00014,3,69,A,1,2,1,788,498,678,285,716,500,5,X
00014,4,82,B,2,2,2,322,403,745,524,690,279,6,A
00015,1,14,A,2,1,2,771,439,629,376,766,477,1,X
00015,2,37,B,2,2,2,650,399,752,447,630,376,6,X
00015,3,63,A,2,2,2,790,407,627,395,664,448,6,X
00015,4,96,B,2,2,2,821,411,746,424,688,392,6,A
00016,1,25,A,2,1,2,769,439,635,376,757,495,1,X
00016,2,51,B,2,2,2,743,353,716,439,641,374,8,X
00016,3,88,A,1,2,1,839,469,688,358,700,480,5,X
00016,4,108,B,2,2,2,508,391,833,478,699,359,6,X
00016,5,137,A,2,2,2,356,573,546,388,639,483,8,X
00016,6,178,B,2,2,1,547,372,440,585,602,376,5,X
00016,7,192,A,2,2,2,525,444,591,370,420,553,6,X
00016,8,221,B,2,1,2,534,361,608,441,605,372,9,X
00016,9,242,A,2,2,1,345,553,575,364,611,458,3,X
00016,10,287,B,2,2,1,692,372,434,568,589,373,5,X
00016,11,305,A,2,1,2,800,443,593,373,448,546,6,X
00016,12,335,B,2,1,2,789,394,779,447,659,376,6,X
00016,13,365,A,2,1,2,933,575,745,389,717,457,8,X
00016,14,409,B,2,2,1,737,371,840,581,661,373,5,X
00016,15,424,A,2,1,2,763,445,641,371,873,563,6,X
00016,16,448,B,2,2,2,723,357,707,449,653,373,8,X
00016,17,476,A,1,2,1,863,499,666,360,729,470,5,X
00016,18,490,B,2,2,2,499,384,765,501,676,363,6,X
00016,19,524,A,2,2,2,433,554,549,383,616,483,8,X
00016,20,563,B,2,2,1,549,386,477,564,605,372,7,X
00016,21,586,A,2,2,2,1015,576,555,380,547,521,8,X
00016,22,626,B,2,2,1,764,353,928,588,644,372,3,X
00016,23,664,A,1,2,1,440,462,721,354,700,506,7,X
00016,24,684,B,2,1,2,516,363,546,474,733,357,8,X
00016,25,719,A,2,2,2,471,445,558,364,609,480,7,X
00016,26,742,B,2,1,2,741,351,489,445,587,369,9,A
00017,1,29,A,2,2,2,394,655,652,405,534,598,2,X
00017,2,90,B,1,2,1,508,338,413,655,574,396,3,A
00018,1,46,B,2,1,2,696,390,615,479,690,372,1,X
00018,2,69,A,2,1,2,778,414,693,384,622,470,6,X
00018,3,97,B,2,2,2,737,349,743,437,670,384,8,A
00019,1,23,A,2,1,2,610,436,651,375,543,493,1,X
00019,2,46,B,2,1,2,725,353,582,462,618,376,8,X
00019,3,86,A,2,2,1,876,450,694,359,687,482,7,X
00019,4,110,B,2,2,2,756,356,811,474,684,364,9,X
